Gene_acc,PG.ProteinAccessions,WT1,WT2,WT3,11-1,11-2,11-3,Desc
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,2252625,2596554.75,2734083.25,2389529.75,2203932.5,2236152.75,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,95227.4765625,60700.10546875,84094.46875,103054.2734375,86815.4140625,94688.1953125,"dynein light chain, putative"
19,Tb06.3A7.960:mRNA-p1,286826.75,268461.9375,232502.875,276982.0625,330120.5,305452.75,hypothetical protein
20,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,432081.28125,412665.59375,429465.65625,467361.75,504815.125,539132.9375,"zinc finger protein family member, putative"
21,Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1,200282.53125,229718.5625,208423.46875,221462.765625,241278.1875,238922.46875,procyclic-enriched flagellar receptor adenylate cyclase 6
23,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,395647.84375,423785.6875,414097.15625,321963.125,407585.28125,322350.53125,hypothetical protein
25,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,396500.875,407588.53125,410238.125,348152.3125,297887.8125,309936.875,"expression site-associated gene (ESAG) protein, putative"
26,Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1,235107.5625,367289.75,223296.59375,317928.09375,304759.4375,291601.96875,"small GTPase, putative"
29,Tb09.v4.0067:pseudogenic_transcript-p1,2466627.75,2674097,2622962,3544768.25,3610388.75,3463537.25,"retrotransposon hot spot protein, pseudogene"
32,Tb09.v4.0109:mRNA-p1,298928,315522.75,293378.5,258528.40625,275216.65625,296141.5,hypothetical protein
34,Tb09.v4.0119:pseudogenic_transcript-p1,37891.140625,45131.5546875,11400.4833984375,34731.90234375,40795.2109375,53754.4453125,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0150:pseudogenic_transcript-p1,180637.625,123985.171875,129600.2890625,160929.484375,184776.046875,166020.90625,"variant surface glycoprotein (VSG, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,557784.875,587120.3125,645445.375,507390.5625,495634.375,463288.625,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,216315.921875,338895.03125,366942.34375,170951.96875,432132.9375,439827.3125,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,1630978.5,1530009.625,1188714.625,1087038.375,1123085,1149737.625,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,519152.03125,442960,455822.25,535473.375,482128.0625,570004.6875,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,289428.625,301027,320831.6875,312450.84375,346857.3125,362323.0625,"hypothetical protein, conserved"
43,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,193311.140625,43851.6796875,22340.13671875,91370.359375,22705.11328125,9248.2939453125,"hypothetical protein, conserved"
44,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,603403.375,610015.4375,619041.875,643880.125,539644.75,554466.4375,cap guanine-N7 methyltransferase
45,Tb10.v4.0041:mRNA-p1,693887.3125,386425.9375,343112.21875,294275,316286.125,356894.125,"PUB domain containing protein, putative"
46,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,166896.53125,160133.390625,181407.953125,182524.578125,214900.046875,193117.953125,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
47,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,46644.4296875,21686.21875,38030.7421875,36626.6953125,33123.296875,30786.5625,"hypothetical protein, conserved"
48,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,971481.75,977521.25,837377.125,905472.625,1260280.625,1062272.25,"prohibitin 2, putative"
49,Tb10.v4.0066:pseudogenic_transcript-p1,246129.46875,379920.1875,327895,220001.4375,396804.0625,241204.859375,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
53,Tb10.v4.0217:mRNA-p1,213956.125,194324.34375,170067.90625,158395.359375,205159.6875,162591.71875,hypothetical protein
54,Tb10.v4.0219:pseudogenic_transcript-p1,84228.4609375,74629.375,86078.9453125,248164.734375,199539.15625,126694.625,"retrotransposon hot spot protein (RHS, pseudogene), putative"
55,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,2839.522216796875,62458.3359375,14076.85546875,103095.8671875,10090.0419921875,17758.734375,base J-associated glucosyltransferase
57,Tb10.v4.0248:mRNA-p1;Tb927.10.6920:mRNA-p1,474547.09375,453279.96875,370660.5,250782.421875,274997.25,305580.1875,hypothetical protein
58,Tb11.01.2730.1-p1,324712.75,391954.25,439044.34375,385443.0625,365564.25,402256.3125,"hypothetical protein, conserved"
59,Tb11.01.6250:mRNA-p1,76836.9921875,66783.3984375,65782.4375,Filtered,7716.43212890625,Filtered,"expression site-associated gene 11 (ESAG11) protein, putative"
60,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,107404.8515625,98448.296875,103214.9375,82083.625,82284.3984375,118845.375,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
61,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,1115948,1086463.5,1086169.75,1072631.125,1196931,1140942.125,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
62,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,137814.28125,161648.09375,153364.9375,92599.125,102039.1171875,108354.8046875,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
64,Tb11.02.5360:mRNA-p1;Tb11.02.5360b.1-p1,63326.0703125,79112.984375,72707.859375,49891.25,58968.8203125,58875.69921875,"hypothetical protein, conserved"
65,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,2737612.25,3055953.75,3302700,3309981.25,3442255.75,3853621.75,"exosome complex exonuclease RRP44p homologue, putative"
66,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,245034.921875,224565.84375,219958.84375,231028.15625,244668.578125,234691.328125,"mRNA processing protein, putative"
67,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,61867.28515625,84003.59375,54917.01953125,72030.8828125,49692.05859375,98911.109375,"cystathionine beta-synthase, putative"
68,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,667279.9375,729000,350494.3125,499880.1875,414463.96875,1062467.875,"ubiquitin activating enzyme, putative"
69,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,4535069,4474112,4410708.5,5057916,5052218,5125106.5,"NADPH-cytochrome p450 reductase, putative"
70,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,179729.40625,180651.265625,157353.65625,125564.2109375,137732.5,136720.75,"hypothetical protein, conserved"
71,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,8656512,8726189,9385685,6155434.5,6769981,5253593,40S ribosomal protein S14
72,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,93374.5234375,86182.328125,81664.65625,89505.0390625,97952.203125,67840.375,hypothetical protein
73,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,772687.625,702786.4375,667704.6875,655996,705057.1875,711710.5625,hypothetical protein
75,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,70559.0546875,73274.40625,66963.40625,56006.55078125,49226.66796875,63960.16796875,"dynein arm light chain, axonemal, putative"
76,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,2439991,3936820,422516.25,4968337,2675845.25,5911886,epsilon tubulin
77,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,73342.7265625,57420.59375,57365.15625,97114.0546875,83306.8984375,65565.8125,"hypothetical protein, conserved"
81,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,5494083.5,5433524.5,4569175,4089731.5,4771356,4770352,"dynein light chain LC8, putative"
82,Tb11.0870:mRNA-p1;Tb927.11.690:mRNA-p1,25667.38671875,25113.73828125,29941.623046875,21192.26953125,15830.11328125,27685.734375,"hypothetical protein, conserved"
85,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,198297.578125,201493.5,213457.8125,263139.875,263396.25,251699.828125,"hypothetical protein, conserved"
86,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,1393154.5,1431160.75,1467122.75,1408718.625,1427847.375,1443385.5,"metallo- peptidase, Clan MG, Family M24"
87,Tb11.1370.1-p1;Tb11.1420:mRNA-p1;Tb927.11.1850:mRNA-p1,74173.4609375,53551.53515625,48040.0546875,40111.28515625,44191.2890625,48798.015625,"hypothetical protein, conserved"
88,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,389720.84375,371986.53125,342189.0625,452139.59375,339344.6875,393899.21875,"hypothetical protein, conserved"
89,Tb11.1410.1-p1;Tb927.11.1810:mRNA-p1,141528.1875,151068.9375,144584.21875,125353.28125,154804.140625,134378.328125,"Ring finger domain containing protein, putative"
90,Tb11.1780.1-p1,4602325,4485924.5,4765307.5,6794056,6380882.5,7404845.5,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
91,Tb11.1790.1-p1,1079693,985201.875,885739.125,1038091.875,1043041.0625,2032291.25,"retrotransposon hot spot protein (RHS, pseudogene), putative"
92,Tb11.1810.1-p1;Tb11.1810b.1-p1,246070,275941.9375,Filtered,1106666.5,351989.6875,598076.375,"retrotransposon hot spot protein (RHS, pseudogene), putative"
93,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,464859.15625,683609.625,652459.3125,1506206,1250006.25,1160894.375,"Calponin homology (CH) domain containing protein, putative"
94,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,51024.40625,50615.828125,57995.71875,63119.08984375,46685.44140625,57632.640625,J Biosynthesis Protein 2
95,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,310817.9375,323614.8125,374737.8125,337863.8125,448095.125,315697.1875,hypothetical protein
97,Tb11.v5.0155.1-p1;Tb927.7.4720:mRNA-p1,122506.8671875,125722.40625,117261.9921875,134255.828125,119927.875,128019.84375,hypothetical protein
98,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,86031.96875,32975.2890625,35343.515625,47603.57421875,43740.1328125,33775.296875,"hypothetical protein, conserved"
99,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,1250006.75,1526010.625,1140107.375,1845673.125,1856675.375,2019980.5,"hypothetical protein, conserved"
100,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,6425605,6417981,5582404.5,8705883,10533999,9193760,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,58304.8671875,121445.171875,87029.59375,66874.4609375,82985.546875,97167.5703125,"conserved hypothetical protein, putative"
102,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,3956577.25,4265701.5,3719128.25,3444419,4042321.25,3624545,proteasome beta 6 subunit
103,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,501075,440411.8125,466101.71875,778902.8125,734557.0625,670710.3125,"HD domain containing protein, putative"
104,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,446041.03125,461882.09375,397399,301688.75,423863.09375,340607.53125,"Trm112p-like protein, putative"
105,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,144793.046875,144470.28125,126804.0703125,95495.1015625,99095.0703125,86646.265625,"hypothetical protein, conserved"
106,Tb11.v5.0167.1-p1;Tb927.7.4850:mRNA-p1,2789.300048828125,Filtered,4397.10302734375,6160.9130859375,4416.01904296875,5378.8916015625,kinetoplastid kinetochore protein 5
107,Tb11.v5.0168.1-p1;Tb927.7.4860:mRNA-p1,101026.609375,111788.828125,80459.9375,52071.04296875,45583.6328125,48025.77734375,kinetoplastid kinetochore protein 13
108,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,87970.984375,81532.09375,80195.5625,74399.75,77695.640625,80790,"hypothetical protein, conserved"
109,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,125612.5859375,138647.578125,131677.4375,350774.84375,322218.9375,444229.9375,Present in the outer mitochondrial membrane proteome 34
110,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,1194667.75,1149001.375,1235830.375,1308346.125,1179745.125,1359179,5'-3' exoribonuclease A
111,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,8636.6474609375,26313.986328125,18732.5546875,47603.4453125,34207.02734375,23632.9765625,"hypothetical protein, conserved"
113,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,491822.9375,427577.53125,420160.46875,503877.84375,530117.875,513066.5,"hypothetical protein, conserved"
114,Tb11.v5.0179.1-p1;Tb927.7.4980:mRNA-p1,13290.560546875,14289.220703125,35906.51171875,22884.697265625,29365.091796875,27299.140625,Present in the outer mitochondrial membrane proteome 35
115,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,644291.75,641756.4375,643507.4375,816188.0625,632381.375,682579.375,"hypothetical protein, conserved"
116,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,11219552,12404610,12102251,8787580,7031541,7847005.5,"60S ribosomal protein L19, putative"
117,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,7249122.5,8444626,7683100,9251287,8431917,9806895,"hypothetical protein, conserved"
118,Tb11.v5.0184.1-p1;Tb927.7.5040:mRNA-p1,224106.515625,372011.5625,4090.261474609375,1286.4481201171875,Filtered,365780.25,"kinesin, putative"
119,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,15862.53515625,19760.8046875,19394.591796875,24414.306640625,20100.009765625,27348.173828125,"hypothetical protein, conserved"
120,Tb11.v5.0187.1-p1;Tb927.7.5070:mRNA-p1,39877.16015625,36432.38671875,36466.2578125,50926.22265625,38476.421875,40718.015625,hypothetical protein
121,Tb11.v5.0188.1-p1;Tb927.7.5080:mRNA-p1,171853.484375,153620.5,178046.609375,186156.890625,194572.546875,175463.609375,ATP-NAD kinase-like protein
122,Tb11.v5.0190.1-p1;Tb927.10.5950:mRNA-p1,181261.3125,114712.125,136003.109375,679591.875,230279.65625,242775.1875,"Serine/threonine-protein kinase NEK17, putative"
123,Tb11.v5.0191.1-p1,345185.3125,317277.5,297979.125,465863.4375,400719.3125,436563.9375,"ELMO/CED-12 family, putative"
125,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,60174.765625,62634.18359375,78906.3671875,27251.96875,13659.0322265625,29169.677734375,"Centrosomal protein of 57 kDa, putative"
126,Tb11.v5.0196.1-p1,1391652.625,1500343.375,1270938.25,1154587.375,1385439.375,1188927,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
127,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,4907203.5,5821031,5531354,5105884,5194980.5,4798373,universal minicircle sequence binding protein 2
128,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,2047727,2381586,2081431.125,1872972.125,2284523,1877900.125,"proteasome subunit beta type-5, putative"
129,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,71129.3359375,30682.12109375,45298.6171875,51328.51171875,68739.453125,47690.546875,"tRNA pseudouridine synthase A, putative"
130,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,Filtered,Filtered,Filtered,57734.38671875,35311.95703125,67800.7421875,"hypothetical protein, conserved"
131,Tb11.v5.0204.1-p1;Tb927.10.6120:mRNA-p1,30964.326171875,38341.5546875,46933.01953125,65873.609375,70485.1640625,58358.9375,"Peptidase M76 family, putative"
132,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,73117.6796875,87009.34375,68411.59375,57693.15625,58795.13671875,60365.3203125,"hypothetical protein, conserved"
134,Tb11.v5.0210.1-p1;Tb927.5.286b:mRNA-p1,57781.46484375,56905.2265625,27015.859375,86570.25,51337.78515625,54866.55859375,adenosine transporter 1
135,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,79338.203125,100333.4296875,104764.546875,127657.7578125,124192.1484375,125302.96875,"variant surface glycoprotein (VSG)-related, putative"
136,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,3271061.25,3394261,3709212.75,5573841,5789203,5524787,retrotransposon hotspot (RHS) protein 1
137,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,2038466.25,2103509.25,1910765.5,3952116.25,3305367,3665733,"invariant surface glycoprotein, putative"
138,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,167601.5,85640.9921875,121080.1640625,132934.5,279695.53125,293423.1875,"hypothetical protein, conserved"
139,Tb11.v5.0219.1-p1;Tb927.5.490:mRNA-p1,226961.515625,274580.375,294346.25,316587.5625,292891.875,334712,"methyltransferase, putative"
141,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,95864.9296875,55528.48828125,60298.2734375,60927.58984375,58136.1328125,67502.671875,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
142,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,184370.109375,371250.78125,36475.31640625,71881.8046875,84625.1640625,83227.6484375,"invariant surface glycoprotein, putative"
143,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,1331308.875,1517190.5,1394608.875,1487089.875,1724224.25,1651435.75,"75 kDa invariant surface glycoprotein, putative"
144,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,1167523.875,1256935.375,995896.3125,1319871.5,1515056.75,1462844.5,"75 kDa invariant surface glycoprotein, putative"
145,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,2167966,2233773,1977477.625,2656678.5,2850202.5,2543153,75 kDa invariant surface glycoprotein
146,Tb11.v5.0233.1-p1;Tb927.10.5240:mRNA-p1,30343.7421875,40732.16015625,30058.978515625,15827.23046875,16359.58984375,17793.904296875,"cAMP binding protein, putative"
147,Tb11.v5.0236.1-p1;Tb927.10.5210:mRNA-p1,126679.3125,105741.9296875,103742.78125,154321.65625,106649.296875,129573.3203125,TFIIH basal transcription factor subunit
148,Tb11.v5.0237.1-p1;Tb927.10.5200:mRNA-p1,230855.421875,201604.796875,205652.65625,196759.5,143806.5625,160452.140625,"hypothetical protein, conserved"
149,Tb11.v5.0243.1-p1;Tb11.v5.1060.1-p1;Tb927.10.5330:mRNA-p1;Tb927.10.5340:mRNA-p1,17170232,18964478,19376078,15606609,12367709,13224581,"40S ribosomal protein S18, putative"
151,Tb11.v5.0245.1-p1;Tb927.10.5310:mRNA-p1,399298.125,339987.90625,328971.71875,420577.375,406470.375,382008,"AMP-activated kinase, alpha 1"
152,Tb11.v5.0246.1-p1;Tb927.10.5300:mRNA-p1,679984.5,374966.65625,427003.53125,484692.71875,437596.1875,501987.8125,"eukaryotic translation initiation factor 6 (eIF-6), putative"
153,Tb11.v5.0248.1-p1;Tb927.10.5280:mRNA-p1,479830.78125,222400.765625,199339.171875,191219.03125,186451.375,202436.34375,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
154,Tb11.v5.0249.1-p1;Tb927.10.5270:mRNA-p1,147346.375,153663.0625,149634.484375,162834.546875,132927.609375,155450.6875,mitogen-activated protein kinase kinase 5
155,Tb11.v5.0252.1-p1;Tb927.11.7310:mRNA-p1,230132.859375,264492.25,294392.375,303629.71875,281849.84375,242761.75,"RNA binding protein, putative"
156,Tb11.v5.0253.1-p1;Tb927.11.7300:mRNA-p1,292981.65625,351296.0625,308172.0625,316876.125,351002.78125,390365.125,"major facilitator superfamily, putative"
157,Tb11.v5.0254.1-p1;Tb927.11.7290:mRNA-p1,705119.3125,666805,642523.6875,538463.875,429527.0625,477919.09375,"pantothenate kinase subunit, putative"
158,Tb11.v5.0255.1-p1;Tb927.11.7280:mRNA-p1,272552.5,202879.9375,244595.65625,507341.5625,368236.4375,353943.125,"DNA-direcetd RNA polymerase II, subunit 9, putative"
159,Tb11.v5.0256.1-p1;Tb927.11.7270:mRNA-p1,1517075.25,1374064.25,1239712.75,1515287.5,1250103.375,1394616.5,"proteasome beta 3 subunit, putative"
160,Tb11.v5.0258.1-p1;Tb927.11.7240:mRNA-p1,120803.9765625,112380.5625,94270.2578125,89200.265625,78974.6171875,94837.984375,nexin-dynein regulatory complex 2
161,Tb11.v5.0261.1-p1;Tb927.7.4480:mRNA-p1,4592685,4371645.5,3942714.75,4766233,5764779,5810338.5,"adenosine 5'-monophosphoramidase, putative"
162,Tb11.v5.0262.1-p1;Tb927.7.4490:mRNA-p1,159183.109375,154582.671875,175869.59375,174967.84375,163812.21875,169616.75,"hypothetical protein, conserved"
163,Tb11.v5.0263.1-p1;Tb927.7.4500:mRNA-p1,6499034.5,5715308.5,4794811,5956269.5,6538181,6746123.5,"PX domain containing protein, putative"
164,Tb11.v5.0264.1-p1;Tb927.7.4510:mRNA-p1,91486.53125,11110.0400390625,79134.4765625,68211.328125,26520.654296875,73946.8515625,"Domain of unknown function (DUF4201), putative"
165,Tb11.v5.0265.1-p1;Tb927.7.4520:mRNA-p1,15928726,13355475,14662002,11980056,12271294,13363166,"Thioredoxin-like, putative"
166,Tb11.v5.0267.1-p1;Tb927.7.4540:mRNA-p1,61800.65625,93070.09375,75389.34375,64798.11328125,29897.046875,49527.14453125,"hypothetical protein, conserved"
167,Tb11.v5.0268.1-p1;Tb927.7.4550:mRNA-p1,382124.21875,371112.5,320472.3125,298485.53125,326935.65625,308407,Mitochondrial ribosomal protein L7/L12
169,Tb11.v5.0270.1-p1;Tb927.7.4570:mRNA-p1,5276566.5,5421143,5504215.5,4630466.5,5484322.5,5352998.5,inosine-guanine nucleoside hydrolase
170,Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1,80515.140625,70228.6171875,80722.1328125,69010.6796875,51993.984375,79540.9140625,trypanin
171,Tb11.v5.0272.1-p1;Tb927.10.6340:mRNA-p1,55274.8515625,47271.71875,43186.66015625,56843.7734375,31684.025390625,81086.5234375,"hypothetical protein, conserved"
172,Tb11.v5.0273.1-p1;Tb927.10.6330:mRNA-p1,188113.34375,102397.828125,22450.861328125,13632.9658203125,Filtered,24274.0234375,kinetoplastid kinetochore protein 1
173,Tb11.v5.0274.1-p1;Tb927.10.6320:mRNA-p1,24333.298828125,72743.4453125,34346.49609375,95795.1640625,96012.09375,75015.203125,"CBF/Mak21 family, putative"
174,Tb11.v5.0275.1-p1;Tb927.10.6310:mRNA-p1,1239404,1082372.75,948376.6875,762861.625,896699.375,806758.125,"major vault protein, putative"
175,Tb11.v5.0276.1-p1;Tb927.10.6300:mRNA-p1,19929.146484375,19359.42578125,20210.826171875,25375.041015625,14841.8974609375,14388.9873046875,Mitochondrial ribosomal protein S5
176,Tb11.v5.0277.1-p1;Tb927.10.6290:mRNA-p1,256177.59375,307451.6875,348874.46875,244022.921875,243203.8125,218392.671875,"ATP-dependent DEAD/H RNA helicase, putative"
177,Tb11.v5.0278.1-p1;Tb927.10.6280:mRNA-p1,147370.21875,138434.65625,134577.390625,93443.921875,139708.3125,101592.4921875,"N-terminal glutamine amidase, putative"
179,Tb11.v5.0289.1-p1;Tb927.11.12770:mRNA-p1,166359.875,151909.28125,172888.75,127680.0234375,116053.6015625,141991.875,"ubiquitin ligase, putative"
180,Tb11.v5.0291.1-p1;Tb927.11.12750:mRNA-p1,228174.71875,243492.78125,231395.78125,359945.0625,409253.65625,435192.3125,cleavage and polyadenylation specificity factor 30 kDa subunit
181,Tb11.v5.0303.1-p1;Tb927.10.15930:mRNA-p1,10672.51953125,16034.3125,26938.716796875,9361.3076171875,14205.7392578125,8137.3525390625,"pdz domain containing protein, putative"
182,Tb11.v5.0305.1-p1;Tb927.10.15950:mRNA-p1,38149.58203125,101424.5859375,29002.1953125,36027.015625,42297.14453125,46948.578125,TATA-box-binding protein
183,Tb11.v5.0306.1-p1;Tb927.10.15970:mRNA-p1,87043.4453125,86948.3671875,93637.953125,63489.2265625,69790.40625,60909.83984375,"Triglyceride lipase, putative"
184,Tb11.v5.0325.1-p1,696460.3125,768617.875,806677.6875,847579,1069158,997022.375,"retrotransposon hot spot (RHS) protein, putative"
185,Tb11.v5.0326.1-p1,1045278.5625,848741.8125,921598.0625,926946.625,1238137.875,1103641.5,"retrotransposon hot spot (RHS) protein, putative"
186,Tb11.v5.0330.1-p1;Tb927.10.8440:mRNA-p1,22544292,21621350,23213760,29987354,34726640,37774316,glucose transporter 1B
